name,coef,影响方向
cat__Functional_Maj1,-0.0,负向降价
cat__Functional_Maj2,-0.0,负向降价
cat__Functional_Min1,-0.0,负向降价
cat__Functional_Min2,-0.0,负向降价
cat__Functional_Mod,-0.0,负向降价
cat__Functional_Sal,-0.0,负向降价
cat__Functional_Sev,-0.0,负向降价
cat__Functional_Typ,0.0,负向降价
cat__Fireplace Qu_Ex,0.0,负向降价
cat__Fireplace Qu_Fa,0.0,负向降价
cat__Fireplace Qu_Gd,0.0,负向降价
cat__Fireplace Qu_Missing,-0.0,负向降价
cat__Fireplace Qu_Po,-0.0,负向降价
cat__Fireplace Qu_TA,0.0,负向降价
cat__Garage Type_2Types,-0.0,负向降价
cat__Garage Type_Attchd,0.0,负向降价
cat__Garage Type_Basment,-0.0,负向降价
cat__Garage Type_BuiltIn,0.0,负向降价
cat__Garage Type_CarPort,-0.0,负向降价
cat__Garage Type_Detchd,-0.0,负向降价
cat__Garage Type_Missing,-0.0,负向降价
cat__Garage Finish_Fin,0.0,负向降价
cat__Garage Finish_Missing,-0.0,负向降价
cat__Garage Finish_RFn,0.0,负向降价
cat__Garage Finish_Unf,-0.0,负向降价
cat__Garage Qual_Ex,0.0,负向降价
cat__Garage Qual_Fa,-0.0,负向降价
cat__Garage Qual_Gd,0.0,负向降价
cat__Garage Qual_Missing,-0.0,负向降价
cat__Garage Qual_Po,-0.0,负向降价
cat__Garage Qual_TA,0.0,负向降价
cat__Garage Cond_Ex,-0.0,负向降价
cat__Garage Cond_Fa,-0.0,负向降价
cat__Garage Cond_Gd,0.0,负向降价
cat__Garage Cond_Missing,-0.0,负向降价
cat__Garage Cond_Po,-0.0,负向降价
cat__Garage Cond_TA,0.0,负向降价
cat__Paved Drive_N,-0.0,负向降价
cat__Paved Drive_P,-0.0,负向降价
cat__Paved Drive_Y,0.0,负向降价
cat__Pool QC_Ex,0.0,负向降价
cat__Pool QC_Fa,0.0,负向降价
cat__Pool QC_Gd,0.0,负向降价
cat__Pool QC_Missing,-0.0,负向降价
cat__Pool QC_TA,0.0,负向降价
cat__Fence_GdPrv,0.0,负向降价
cat__Fence_GdWo,-0.0,负向降价
cat__Fence_Missing,0.0,负向降价
cat__Fence_MnPrv,-0.0,负向降价
cat__Fence_MnWw,-0.0,负向降价
cat__Misc Feature_Elev,0.0,负向降价
cat__Misc Feature_Gar2,-0.0,负向降价
cat__Misc Feature_Missing,0.0,负向降价
cat__Misc Feature_Othr,-0.0,负向降价
cat__Misc Feature_Shed,-0.0,负向降价
cat__Sale Type_COD,-0.0,负向降价
cat__Sale Type_CWD,0.0,负向降价
cat__Sale Type_Con,0.0,负向降价
cat__Sale Type_ConLD,-0.0,负向降价
cat__Sale Type_ConLI,-0.0,负向降价
cat__Sale Type_ConLw,-0.0,负向降价
cat__Sale Type_New,0.0,负向降价
cat__Sale Type_Oth,-0.0,负向降价
cat__Sale Type_VWD,-0.0,负向降价
cat__Sale Type_WD ,-0.0,负向降价
cat__Sale Condition_Abnorml,-0.0,负向降价
cat__Sale Condition_AdjLand,-0.0,负向降价
cat__Sale Condition_Alloca,-0.0,负向降价
cat__Sale Condition_Family,-0.0,负向降价
cat__Sale Condition_Normal,-0.0,负向降价
cat__Sale Condition_Partial,0.0,负向降价
